bllssa,Hffanm,Melissa,Hoffman,0.07,
harh,Brwax,Sarah,Beam,0.09,
Doartchy,Golyan,Dorathy,Goldman,0.69,
Doosy,Stanq,Dorothy,Stang,0.82,
Mqcjhelle,Mmessengoe,Michelle,Messenger,0.76,
pManueu,Wvrq,Manuel,Wark,0.93,
Kennehthwn,Goolho,Kenneth,Gooch,0.69,
fMira,evKllem,Maria,Kelley,0.63,
Yuj,Willijmsa,Yun,Williams,0.67,
Aarn,aHyden,Aaron,Haynes,0.68,
aathlen,sab,Kathleen,Sabo,0.73,
elpvin,rBadbn,Kelvin,Brand,0.56,
rBy,Thomron,Bryan,Thompson,0.72,
Rsoal,Cldmk,Rosalie,Clark,0.66,
hCuko,uhfrphy,Chuck,Murphy,0.83,
qonj,Hondron,John,Henderson,0.04,
ryicai,Pmirhaim,Tricia,Parham,0.65,
Phiiler,ibbs,Philip,Gibbs,0.98,
esl,Caetaham,Cecil,Cheatham,0.08,
Rugthp,rashlal,Ruthie,Marshall,0.71,
rHaethfer,jcrimmn,Heather,Mccrimmon,0.71,
Jilvalin,Drwr,Jillian,Darrow,0.03,
Amled,iqMsoley,Almeda,Mosley,0.89,
ietmven,Teaja,Steven,Tejada,0.85,
Arci,zttwews,Araceli,Matthews,0.77,
Jukhla,sthonn,Julia,Ashton,0.85,
cGrryo,ucqkettl,Garry,Puckett,0.66,
Tdw,wHihs,Todd,Hicks,0.52,
Mrapso,hdr,Marcos,Byrd,0.78,
khKenndeth,Hropiisn,Kenneth,Hopkins,0.014728922,
Cbhristodphr,Jase,Christopher,Jones,0.51,
jEgvic,Morrixew,Eric,Morris,0.6,
Chraolb,Lfoje,Carol,Lowe,0.51,
Sco,Andersxn,Scott,Anderson,0.93,
Lhrainv,Gaxti,Lorraine,Gault,0.73,
rfBiaan,Modiq,Brian,Morin,0.59,
hTots,Nigxny,Thomas,Nixon,0.66,
Ricjrd,Bons,Richard,Bond,0.54,
Kpy,vAenqaoo,Kelly,Avendano,0.08,
co,Colsotn,Jo,Colson,0.74,
ailphk,Raimrg,Ralph,Ramirez,0.97,
xharno,ieys,Sharon,Reyes,0.66,
yephen,Wyriuck,Stephen,Wyrick,0.09,
Eac,gHxeannon,Eric,Hannon,0.96,
Breuan,Mvotner,Brendan,Minter,0.5,
laeredce,Sjzzory,Clarence,Story,0.59,
iRfhard,uDrmkir,Richard,Durkin,0.99,
bu,Rrtnolds,Ruby,Reynolds,0.81,
Chbmoles,Majwtni,Charles,Martin,0.79,
Roadm,tnedrsqn,Ronald,Anderson,0.09,
ouh,Ricradh,John,Richard,0.59,
orancse,errtt,Frances,Merritt,0.99,
Bqmrbraa,Jodrn,Barbara,Jordan,0.98,
Hxeyr,eearms,Henry,Adams,0.58,
Wililamwk,vJonhosn,William,Johnson,0.92,
Terksea,Loond,Teresa,Looney,0.51,
Euegne,Jaohnsno,Eugene,Johnson,0.95,
gon,fSctotc,John,Scott,0.87,
Mayr,Tqberny,Mary,Tierney,1,
Bgdetn,Stinsnl,Brent,Stinson,0.59,
fic,jBaxtdur,Eric,Baxter,0.84,
Wlilcm,olbetrk,William,Holbert,0.5,
eF,Ostarnedr,Fred,Ostrander,0.66,
Tylretj,Stocklaeo,Tyler,Stockdale,0.58,
Blaiov,iCook,Blaine,Cook,0.7,
nkindaw,mljown,Linda,Brown,0.77,
Fmaroncis,Riuce,Francis,Rice,0.84,
mKavthj,Lynbp,Kathy,Lynch,0.7,
Kaut,ngor,Kathy,Moore,0.74,
Beatrbire,Hdnreson,Beatrice,Henderson,0.82,
dieline,omtiell,Madeline,Romriell,0.04,
Vtioira,ySemtith,Victoria,Smith,0.83,
taJhn,Morei,Jan,Moore,0.56,
Rigaid,nnebssy,Richard,Hennessy,0.018525319,
Jl,Jhosn,Julia,Johnson,0.8,
a,tuibz,Tana,Ruiz,0.57,
Judstitne,Fgusn,Justine,Ferguson,0.5,
Imoeze,dBnes,Imogene,Barnes,0.63,
aSamnth,Sihh,Samantha,Smith,0.98,
mbsl,ceooy,Basil,Mcelroy,1,
Rooesmar,elnge,Rosemary,Cline,0.61,
Jwemy,Germxin,Jeremy,Germain,0.08,
Bryentd,aPhkn,Brenda,Parks,0.03,
xhrannn,egaladu,Shannon,Regalado,0.65,
Drdoa,Bchynna,Dora,Buchanan,0.51,
Waah,ashinztond,Wanda,Washington,0.94,
jlyoc,Parzkerqw,Floyd,Parker,0.84,
Sihmrey,Cosittpn,Shirley,Costigan,0.8,
Cyswtal,Cadetxl,Crystal,Cadet,0.61,
osyaph,feekfs,Joseph,Meeks,0.76,
argrt,alzw,Margret,Hall,0.96,
eWdfy,Damvisz,Wendy,Davis,0.06,
