Meliaza,H9ffmau,Melissa,Hoffman,0.07,
Sardn,Bewb,Sarah,Beam,0.09,
Doratht,Gokdnzn,Dorathy,Goldman,0.69,
Dorp5jy,Stwnv,Dorothy,Stang,0.82,
Micbslke,M4sdwnger,Michelle,Messenger,0.76,
Man7wl,Waf9,Manuel,Wark,0.93,
Krnbegh,Gopch,Kenneth,Gooch,0.69,
Mae8z,Kell48,Maria,Kelley,0.63,
Yuh,Wiklianz,Yun,Williams,0.67,
Aa4oj,Haynws,Aaron,Haynes,0.68,
Kathje3n,Ssbk,Kathleen,Sabo,0.73,
Kdlv8j,Brqnc,Kelvin,Brand,0.56,
Brusj,Thojpdon,Bryan,Thompson,0.72,
Rosql0e,Clarl,Rosalie,Clark,0.66,
Chjcn,Mu5pby,Chuck,Murphy,0.83,
Jobn,Hehdetsin,John,Henderson,0.04,
Trodia,Parhqb,Tricia,Parham,0.65,
Phiolp,Gibgw,Philip,Gibbs,0.98,
Cecyk,Cheatusm,Cecil,Cheatham,0.08,
Ruthiw,Marsnqkl,Ruthie,Marshall,0.71,
Hea6ne5,Mcctikjon,Heather,Mccrimmon,0.71,
Jilloaj,Da3r0w,Jillian,Darrow,0.03,
Almefw,Moskrt,Almeda,Mosley,0.89,
Stedej,Twjadx,Steven,Tejada,0.85,
Aeacepi,Magtvews,Araceli,Matthews,0.77,
Jum9a,Ash6lm,Julia,Ashton,0.85,
Gar4i,Puckeft,Garry,Puckett,0.66,
Todt,H8cns,Todd,Hicks,0.52,
Marv0s,B7rr,Marcos,Byrd,0.78,
Kenbe6h,Hlpkijs,Kenneth,Hopkins,0.014728922,
Ch5is5ophsr,Jomeq,Christopher,Jones,0.51,
Erig,Mor38s,Eric,Morris,0.6,
Car9p,Low4,Carol,Lowe,0.51,
Sclgy,Ancweson,Scott,Anderson,0.93,
Lortaijw,Gauo4,Lorraine,Gault,0.73,
Bruwm,Motub,Brian,Morin,0.59,
Tbonss,Nix0h,Thomas,Nixon,0.66,
Ricbaee,Bijs,Richard,Bond,0.54,
Keklg,Aveneaji,Kelly,Avendano,0.08,
Ji,Cokd0n,Jo,Colson,0.74,
Raopb,Ramit3x,Ralph,Ramirez,0.97,
Shaeon,Rehwz,Sharon,Reyes,0.66,
Steobej,Wycuck,Stephen,Wyrick,0.09,
Erkc,Hanjpj,Eric,Hannon,0.96,
Brekdwn,Mung3r,Brendan,Minter,0.5,
Cla5dmce,Stor6,Clarence,Story,0.59,
Ricyarz,Durk9n,Richard,Durkin,0.99,
Rynt,Reyn9kdd,Ruby,Reynolds,0.81,
Charlsa,Mawtij,Charles,Martin,0.79,
Ronsl3,Anedrspn,Ronald,Anderson,0.09,
Jpnh,Richa3f,John,Richard,0.59,
Frwmxes,Mettitr,Frances,Merritt,0.99,
Barbxra,Jottan,Barbara,Jordan,0.98,
Hen5y,Adakf,Henry,Adams,0.58,
Wollism,Jofnsob,William,Johnson,0.92,
Terefs,Lo9heu,Teresa,Looney,0.51,
Eubtne,Johns8h,Eugene,Johnson,0.95,
J0gb,Sc9gr,John,Scott,0.87,
Msrj,Tiefjry,Mary,Tierney,1,
Brrjt,Stijxln,Brent,Stinson,0.59,
Erob,Bacgee,Eric,Baxter,0.84,
Willoah,Hokbdtt,William,Holbert,0.5,
Frwd,Ostramsdr,Fred,Ostrander,0.66,
Tyoet,Stocmealw,Tyler,Stockdale,0.58,
Blw9je,Cloo,Blaine,Cook,0.7,
Lijds,Btp2n,Linda,Brown,0.77,
Frahxis,Ruv4,Francis,Rice,0.84,
Katnu,Lyncf,Kathy,Lynch,0.7,
Kzgjy,Mo9r2,Kathy,Moore,0.74,
Beatrisw,Hendeeeon,Beatrice,Henderson,0.82,
Madelyhe,Rpmfi3ll,Madeline,Romriell,0.04,
Vuctp5ia,Skitb,Victoria,Smith,0.83,
Jsj,Moie3,Jan,Moore,0.56,
Ricns4d,Hemmeszy,Richard,Hennessy,0.018525319,
Jul9w,Johhzon,Julia,Johnson,0.8,
Taja,Rjyz,Tana,Ruiz,0.57,
Jus6unw,Feffuxon,Justine,Ferguson,0.5,
Imob3ne,Baenww,Imogene,Barnes,0.63,
Samaktya,Smu6g,Samantha,Smith,0.98,
Basjo,Mce9rly,Basil,Mcelroy,1,
Roswma4y,Clih2,Rosemary,Cline,0.61,
Jer3nt,Gefmson,Jeremy,Germain,0.08,
Brsnes,Patkq,Brenda,Parks,0.03,
Shanvob,Regqkado,Shannon,Regalado,0.65,
Do4q,Bucbwnab,Dora,Buchanan,0.51,
Wakca,Waxhimgtob,Wanda,Washington,0.94,
Flo5f,Paelrr,Floyd,Parker,0.84,
Shkrl46,Costjgab,Shirley,Costigan,0.8,
Crys5zl,Cadr7,Crystal,Cadet,0.61,
Josepn,Mewid,Joseph,Meeks,0.76,
Margrz5,Haoi,Margret,Hall,0.96,
Wensr,Dab8d,Wendy,Davis,0.06,
Be4bife,Fitxpayrivk,Bernice,Fitzpatrick,0.7,
Lisq,Sabcg4z,Lisa,Sanchez,0.67,
Irmq,Schindpsr,Irma,Schindler,0.61,
Donmd,Grifenakrfemaleiths,Donna,Grifemalefemaleiths,0.65,
Dougka3,Walyob,Douglas,Walton,0.03,
Ekusq,Barty,Elisa,Barry,0.67,
Jezuz,Cutnuy5,Jesus,Curnutt,0.69,
C8ryus,Garxw,Curtis,Garza,0.62,
Jose9y,Sreimherg,Joseph,Steinberg,0.71,
Eveljn,Keli3r,Evelyn,Keller,0.66,
Alecznfer,Dani3ps,Alexander,Daniels,0.96,
B5andin,Kimr,Brandon,King,0.89,
Lauta,Pai,Laura,Pak,0.69,
Derrudk,Greeheood,Derrick,Greenwood,0.09,
Trl7,Paln44,Troy,Palmer,0.87,
Mibn9e,Veerw6,Minnie,Verret,0.1,
Joshia,Sanddy,Joshua,Sander,0.97,
Syslkey,Hame5,Shelley,Hamer,0.74,
An5on0a,Rosemind,Antonia,Rosemond,0.98,
Jenbigemsleer,Andr5qs,Jennifemaleer,Andrews,0.63,
Rytf,Mcctzy,Ruth,Mccray,0.83,
Edskw,Gag4,Eddie,Gage,0.6,
Thonqz,Mueex,Thomas,Myers,0.6,
Ricmaed,Ol9vk,Richard,Olivo,0.87,
Jox3,Tuwnwr,Jose,Turner,0.98,
Dototn6,Delqc3ga,Dorothy,Delavega,0.95,
Tomg,Wiloiamson,Tony,Williamson,0.51,
Jori,Sume,Joel,Sims,0.57,
Alkos,Jpihet,Allie,Joiner,0.52,
Muchsek,Grifemakefenzlein,Michael,Grifemalefemalein,0.97,
Juwt9n,Spiklmdn,Justin,Spillman,0.94,
Micba4o,Padillq,Michael,Padilla,0.85,
B3njqnin,Sanajiego,Benjamin,Samaniego,0.69,
Neldpj,Thomow9n,Nelson,Thompson,0.76,
Sams5a,Ottox,Sandra,Ortiz,0.81,
Dsbs,Gsrci2,Dana,Garcia,0.73,
Che7s,Lldwell7h,Chris,Llewellyn,0.85,
