Meliqdx,Hocvjan,Melissa,Hoffman,0.07,,,,,,,
Saedj,B3ab,Sarah,Beam,0.09,,,,,,,
Doestmy,Goodjsn,Dorathy,Goldman,0.69,,,,,,,
Doro5g7,Stann,Dorothy,Stang,0.82,,,,,,,
Micg3jlw,Messekbey,Michelle,Messenger,0.76,,,,,,,
Msn82k,Wqdj,Manuel,Wark,0.93,,,,,,,
Ksjgeth,Goorb,Kenneth,Gooch,0.69,,,,,,,
Max8s,Keokdg,Maria,Kelley,0.63,,,,,,,
Yuj,Wikl8ans,Yun,Williams,0.67,,,,,,,
Aatim,Hayn1s,Aaron,Haynes,0.68,,,,,,,
Kathkwwn,Sahi,Kathleen,Sabo,0.73,,,,,,,
Keldun,B5znr,Kelvin,Brand,0.56,,,,,,,
B56su,Th0joxon,Bryan,Thompson,0.72,,,,,,,
Rodql9s,Cla6o,Rosalie,Clark,0.66,,,,,,,
Ch7jk,Mur0nh,Chuck,Murphy,0.83,,,,,,,
Jo6j,Hebddes0n,John,Henderson,0.04,,,,,,,
Tridka,Pwfbsn,Tricia,Parham,0.65,,,,,,,
Phumo0,Gigbc,Philip,Gibbs,0.98,,,,,,,
Cdflo,Chsstnsm,Cecil,Cheatham,0.08,,,,,,,
Ru6gk3,Marrywkl,Ruthie,Marshall,0.71,,,,,,,
Heattrt,Mcc6innin,Heather,Mccrimmon,0.71,,,,,,,
Jikloqh,Darr94,Jillian,Darrow,0.03,,,,,,,
Alnscs,Moxlwt,Almeda,Mosley,0.89,,,,,,,
Stwc3h,Tenwes,Steven,Tejada,0.85,,,,,,,
Atwc4mi,Maytht3x,Araceli,Matthews,0.77,,,,,,,
Jyl9d,As6don,Julia,Ashton,0.85,,,,,,,
Gar6u,Pucl3hy,Garry,Puckett,0.66,,,,,,,
Tory,Hiblw,Todd,Hicks,0.52,,,,,,,
Mafviw,By4s,Marcos,Byrd,0.78,,,,,,,
Kehh3tj,Hopjhnw,Kenneth,Hopkins,0.014728922,,,,,,,
Christu0her,Jpnrw,Christopher,Jones,0.51,,,,,,,
Eeof,Mo6ryx,Eric,Morris,0.6,,,,,,,
Ca4pm,Liww,Carol,Lowe,0.51,,,,,,,
Sco68,Anxe4slh,Scott,Anderson,0.93,,,,,,,
Lorta8hw,Gauke,Lorraine,Gault,0.73,,,,,,,
Briqn,Moriu,Brian,Morin,0.59,,,,,,,
Thogar,N9xig,Thomas,Nixon,0.66,,,,,,,
Richwsv,Bkks,Richard,Bond,0.54,,,,,,,
Keok7,Agendwno,Kelly,Avendano,0.08,,,,,,,
Jy,Cildih,Jo,Colson,0.74,,,,,,,
Ra09g,Ram853c,Ralph,Ramirez,0.97,,,,,,,
Shq5ph,Rry3e,Sharon,Reyes,0.66,,,,,,,
Stwobeb,W7eidk,Stephen,Wyrick,0.09,,,,,,,
Erof,Hanh9b,Eric,Hannon,0.96,,,,,,,
Br4nsqb,Minfww,Brendan,Minter,0.5,,,,,,,
Clafrbre,Stiyy,Clarence,Story,0.59,,,,,,,
Rizhzrr,Durkjn,Richard,Durkin,0.99,,,,,,,
Ruve,Rrynolxa,Ruby,Reynolds,0.81,,,,,,,
Chqrlrw,Ma5ypb,Charles,Martin,0.79,,,,,,,
Rob1le,Amdrts0n,Ronald,Anderson,0.09,,,,,,,
Jotj,Rixjw4s,John,Richard,0.59,,,,,,,
Feancew,Msrr77t,Frances,Merritt,0.99,,,,,,,
Bargz5a,Jorfrm,Barbara,Jordan,0.98,,,,,,,
Henr4,Adwmf,Henry,Adams,0.58,,,,,,,
Willizg,Johjwij,William,Johnson,0.92,,,,,,,
