rec_id,First_Name,Last_Name,SSN,Gender,Nationality,Age,Highest_Education_Level,Income,Company,State,Percentage,
rec-000000-dup-0,Meli55a,Hoffmarn,777-1g-84l9,fenaje,C0l0mbian,6s,higb_schooi,4631z.1o9,AMBASSADOR APTS,IL  ,0.07,
rec-000001-dup-0,Saral>,Beari,556-24-o4g6,fena|e,Caiiiero0nian,36,ma5ter5,104|68.3z4,CHILDRENS AID SOCIETY,ME  ,0.09,
rec-000002-dup-0,Dorat1>y,Goldiilan,255-9g-0|48,feiiiaje,Kyrgvzstarii,5o,high_scb0ol,5s207.51g,COUNTRYSIDE VILLAGE,NC  ,0.69,
rec-000003-dup-0,Dor0tby,Staiiig,211-78-o8z5,feiiiaje,Braz'lliam,89,higb_scho0l,46z9q.78,FIRST AMERICAN  BANK,PR  ,0.82,
rec-000004-dup-0,Michej|e,Mes5emger,874-92-85qo,fema1e,Frencl>,77,hi9h_sch0ol,3688o.1s9,FIRST CREDIT CORPORATION,PA  ,0.76,
rec-000005-dup-0,Manvei,Warjc,532-78-9648,rna1e ,Armem'lan,78,bacbel0rs,67z82.o78,APPLE CREEK ELEM SCHOOL,PA  ,0.93,
rec-000006-dup-0,Kenrleth,G00ch,514-q4-3o53,maie ,Swazl,5s,bacheior5,63068.o5q,BLAKE SMITH,NJ  ,0.69,
rec-000007-dup-0,Mama,Kejiey,347-8s-q672,fermale,Cyprl0t,8o,deqree,74o47.g14,9s SUPS LGSMR,IL  ,0.63,
rec-000008-dup-0,Yur'l,Will'lans,870-68-s1l3,fernaje,Marshajle5e ,2z,hi9h_sch0ol,368|7.9|7,ABC MAILBOXES,PA  ,0.67,
rec-000009-dup-0,Aar0m,Havmes,00s-34-o557,ma1e ,Papua New Gvineam,63,doct0ra|,g8878.676,ACCEL BUSINESS FORMS,AL  ,0.68,
rec-000010-dup-0,Katbleem,Sa1>0,828-|7-663q,fema1e,Suriiiiamese,4s,deqree,655q9.46g,ACTON DENTAL,MA  ,0.73,
rec-000011-dup-0,Kelyim,Branc1,677-53-11oo,ma|e ,Bermudiarj,77,bacbebrs,78426.l3z,ADVANTIS (PLUS IBM MAIL),NJ  ,0.56,
rec-000012-dup-0,Bryarn,Th0mp5on,214-s8-5z13,maie ,Malaw:am,q8,doct0ra1,87824.8qq,ALBERT A RUSSO INC,IN  ,0.72,
rec-000013-dup-0,Ro5a1ie,Claric,962-11-|20l,fema'le,Sn Larikan,3z,higb_scbool,3844q.z45,ALLIED CASH,TX  ,0.66,
rec-000014-dup-0,Chvcl<,Murploy,209-g6-67z2,ma:e ,Greeniander ,|8,hi9h_scho0l,5057o.5|3,AMERICAN BUILDINS BLDG,KY  ,0.83,
rec-000015-dup-0,Jolon,Henclers0n,51o-13-8l34,ma|e ,Ecuacloream,q6,profess'l0nal,93o73.o33,AU BON PAIN,NC  ,0.04,
rec-000016-dup-0,Tric'|a,Parban,408-59-lz89,ferna|e,Cvbari,99,high_5cho0l,374q3.o18,BRODIE OAKS,LA  ,0.65,
rec-000017-dup-0,Phi|ip,Gib1>5,106-o4-|841,maie ,Peruu'lan,9z,bache10rs,86096.7zg,COMPTROLLER OF CURRENCY,VA  ,0.98,
rec-000018-dup-0,Cecjj,Cheatloam,422-3z-2l80,ma'le ,Janaicam,73,high_5cbool,38054.oo3,COUNTRY PLACE,MA  ,0.08,
rec-000019-dup-0,Ruth1e,Mar5ball,86|-77-37o6,fernaie,Japarie5e,2s,hi9h_scbool,49861.2gs,COUNTRY VILLA,MO  ,0.71,
rec-000020-dup-0,Heatl>er,Mccnmrnon,377-sq-3894,fema:e,Jorclamian,2z,hlgh_5chool,s0789.s47,COUNTRY VILLAGE,FL  ,0.71,
rec-000021-dup-0,Jill:am,Darr0vv,6s9-4l-3286,feiiia|e,Kazalcb,8z,profe5siorial,85666.73z,COUNTRY VLG APTS,NY  ,0.03,
rec-000022-dup-0,Al:iieda,M05ley,658-73-oz91,feiijale,Ker'lyan,3g,de9ree,6758l.o33,COUNTRY WIDE,AL  ,0.89,
rec-000023-dup-0,Steyeri,Tejacia,437-l8-2|87,na1e ,Czec1>,4g,ma5ter5,1141zq.279,DR C WEISS DDS,NC  ,0.85,
