,Hoffman,Melissa,Hoffman,0.07
Sarah,,Sarah,Beam,0.09
,Goldman,Dorathy,Goldman,0.69
,Stang,Dorothy,Stang,0.82
Michelle,,Michelle,Messenger,0.76
,Wark,Manuel,Wark,0.93
,Gooch,Kenneth,Gooch,0.69
,Kelley,Maria,Kelley,0.63
,Williams,Yun,Williams,0.67
,Haynes,Aaron,Haynes,0.68
Kathleen,,Kathleen,Sabo,0.73
,Brand,Kelvin,Brand,0.56
Bryan,,Bryan,Thompson,0.72
,Clark,Rosalie,Clark,0.66
,Murphy,Chuck,Murphy,0.83
John,,John,Henderson,0.04
Tricia,,Tricia,Parham,0.65
,Gibbs,Philip,Gibbs,0.98
Cecil,,Cecil,Cheatham,0.08
,Marshall,Ruthie,Marshall,0.71
Heather,,Heather,Mccrimmon,0.71
,Darrow,Jillian,Darrow,0.03
Almeda,,Almeda,Mosley,0.89
,Tejada,Steven,Tejada,0.85
,Matthews,Araceli,Matthews,0.77
Julia,,Julia,Ashton,0.85
Garry,,Garry,Puckett,0.66
Todd,,Todd,Hicks,0.52
,Byrd,Marcos,Byrd,0.78
Kenneth,,Kenneth,Hopkins,0.014728922
Christopher,,Christopher,Jones,0.51
Eric,,Eric,Morris,0.6
,Lowe,Carol,Lowe,0.51
,Anderson,Scott,Anderson,0.93
Lorraine,,Lorraine,Gault,0.73
Brian,,Brian,Morin,0.59
Thomas,,Thomas,Nixon,0.66
,Bond,Richard,Bond,0.54
,Avendano,Kelly,Avendano,0.08
Jo,,Jo,Colson,0.74
,Ramirez,Ralph,Ramirez,0.97
Sharon,,Sharon,Reyes,0.66
Stephen,,Stephen,Wyrick,0.09
,Hannon,Eric,Hannon,0.96
,Minter,Brendan,Minter,0.5
Clarence,,Clarence,Story,0.59
Richard,,Richard,Durkin,0.99
,Reynolds,Ruby,Reynolds,0.81
,Martin,Charles,Martin,0.79
Ronald,,Ronald,Anderson,0.09
John,,John,Richard,0.59
,Merritt,Frances,Merritt,0.99
Barbara,,Barbara,Jordan,0.98
,Adams,Henry,Adams,0.58
,Johnson,William,Johnson,0.92
Teresa,,Teresa,Looney,0.51
,Johnson,Eugene,Johnson,0.95
John,,John,Scott,0.87
Mary,,Mary,Tierney,1
Brent,,Brent,Stinson,0.59
Eric,,Eric,Baxter,0.84
William,,William,Holbert,0.5
Fred,,Fred,Ostrander,0.66
Tyler,,Tyler,Stockdale,0.58
,Cook,Blaine,Cook,0.7
Linda,,Linda,Brown,0.77
,Rice,Francis,Rice,0.84
Kathy,,Kathy,Lynch,0.7
,Moore,Kathy,Moore,0.74
,Henderson,Beatrice,Henderson,0.82
,Romriell,Madeline,Romriell,0.04
,Smith,Victoria,Smith,0.83
,Moore,Jan,Moore,0.56
Richard,,Richard,Hennessy,0.018525319
Julia,,Julia,Johnson,0.8
Tana,,Tana,Ruiz,0.57
,Ferguson,Justine,Ferguson,0.5
,Barnes,Imogene,Barnes,0.63
,Smith,Samantha,Smith,0.98
Basil,,Basil,Mcelroy,1
Rosemary,,Rosemary,Cline,0.61
,Germain,Jeremy,Germain,0.08
Brenda,,Brenda,Parks,0.03
Shannon,,Shannon,Regalado,0.65
,Buchanan,Dora,Buchanan,0.51
,Washington,Wanda,Washington,0.94
,Parker,Floyd,Parker,0.84
,Costigan,Shirley,Costigan,0.8
Crystal,,Crystal,Cadet,0.61
Joseph,,Joseph,Meeks,0.76
,Hall,Margret,Hall,0.96
,Davis,Wendy,Davis,0.06
Bernice,,Bernice,Fitzpatrick,0.7
Lisa,,Lisa,Sanchez,0.67
,Schindler,Irma,Schindler,0.61
,Grifemalefemaleiths,Donna,Grifemalefemaleiths,0.65
,Walton,Douglas,Walton,0.03
Elisa,,Elisa,Barry,0.67
,Curnutt,Jesus,Curnutt,0.69
,Garza,Curtis,Garza,0.62
,Steinberg,Joseph,Steinberg,0.71
Evelyn,,Evelyn,Keller,0.66
,Daniels,Alexander,Daniels,0.96
Brandon,,Brandon,King,0.89
Laura,,Laura,Pak,0.69
Derrick,,Derrick,Greenwood,0.09
,Palmer,Troy,Palmer,0.87
,Verret,Minnie,Verret,0.1
,Sander,Joshua,Sander,0.97
Shelley,,Shelley,Hamer,0.74
,Rosemond,Antonia,Rosemond,0.98
Jennifemaleer,,Jennifemaleer,Andrews,0.63
,Mccray,Ruth,Mccray,0.83
Eddie,,Eddie,Gage,0.6
,Myers,Thomas,Myers,0.6
Richard,,Richard,Olivo,0.87
,Turner,Jose,Turner,0.98
Dorothy,,Dorothy,Delavega,0.95
Tony,,Tony,Williamson,0.51
,Sims,Joel,Sims,0.57
,Joiner,Allie,Joiner,0.52
Michael,,Michael,Grifemalefemalein,0.97
Justin,,Justin,Spillman,0.94
,Padilla,Michael,Padilla,0.85
,Samaniego,Benjamin,Samaniego,0.69
,Thompson,Nelson,Thompson,0.76
,Ortiz,Sandra,Ortiz,0.81
,Garcia,Dana,Garcia,0.73
Chris,,Chris,Llewellyn,0.85
Lynn,,Lynn,Hoagland,0.92
,Paddock,Theodore,Paddock,0.9
,Soto,Charles,Soto,0.98
,Turney,Margaret,Turney,0.87
,Gonzales,Lori,Gonzales,0.72
,Aguirre,Prudence,Aguirre,0.78
,Wren,Bonnie,Wren,0.77
,Baehr,Jose,Baehr,0.54
Michele,,Michele,Michalski,0.93
,Taylor,Marie,Taylor,0.08
Kevin,,Kevin,Prado,0.07
,Stephenson,Charlie,Stephenson,0.52
,Gebhard,Maureen,Gebhard,0.53
Kenneth,,Kenneth,Reed,0.08
,Thomas,Michael,Thomas,0.58
,Flynn,Juana,Flynn,0.93
,Ryan,Dorothy,Ryan,0.78
Neal,,Neal,Baker,0.09
,Pickering,Travis,Pickering,0.99
Jordan,,Jordan,Erwin,0.07
,Prunty,William,Prunty,0.6
,Jones,James,Jones,0.86
,Bingham,Bernetta,Bingham,0.62
,Bacon,Kevin,Bacon,0.06
,Mazzeo,Mary,Mazzeo,0.5
Idell,,Idell,Wofemalefemaleord,0.76
Michael,,Michael,Lipscomb,0.79
,Moore,Erica,Moore,0.09
Sue,,Sue,Kelley,0.08
Peter,,Peter,Everette,0.87
Angela,,Angela,Thomas,0.002016587
,Castillo,Barbara,Castillo,0.5
Thomas,,Thomas,Humphreys,0.64
Aretha,,Aretha,Edwards,0.82
Mary,,Mary,Haack,0.07
Chester,,Chester,Farrow,0.78
Mary,,Mary,Simpson,0.91
Kristen,,Kristen,Simpson,0.59
,Mendez,Brett,Mendez,0.96
Phillip,,Phillip,Turner,0.68
Franklin,,Franklin,Gregory,0.000999877
Francisco,,Francisco,Wilson,0.67
,Donmoyer,Marie,Donmoyer,0.85
,James,Ronald,James,0.77
Frank,,Frank,Romero,0.94
,Santee,Rosaura,Santee,0.58
Denis,,Denis,Peachey,0.64
,Kelsey,Kelly,Kelsey,0.59
Pamela,,Pamela,Synder,1
,Jordan,Stacey,Jordan,0.76
,Baily,Michael,Baily,0.98
Kelly,,Kelly,Campos,0.62
Thelma,,Thelma,Ambrose,0.64
John,,John,Tipler,0.56
Donald,,Donald,Miller,0.88
,Ruble,Joseph,Ruble,0.63
,Snider,Stephen,Snider,0.05
,Napier,Brady,Napier,0.67
,Thompson,Gary,Thompson,0.64
Amanda,,Amanda,Cleghorn,0.53
Bruce,,Bruce,Cahill,0.74
Judi,,Judi,Jones,0.71
Brad,,Brad,Lawrence,0.85
Christian,,Christian,Croce,0.06
,Ambrose,Martha,Ambrose,0.52
Donna,,Donna,Turner,0.81
Ramon,,Ramon,Lewis,0.6
Yvonne,,Yvonne,Jones,0.7
Esther,,Esther,Hines,0.88
,Pena,Constance,Pena,0.87
Walter,,Walter,Collins,0.04
Arthur,,Arthur,Kendall,0.09
,Tello,Timothy,Tello,0.87
,Lee,Joseph,Lee,0.83
,Brewer,Maureen,Brewer,0.63
George,,George,Cunningham,0.72
Edwin,,Edwin,Johnson,0.71
Milton,,Milton,Otis,0.73
,Vines,Bobbie,Vines,0.06
Jessica,,Jessica,Rush,0.62
,Brown,Denise,Brown,0.54
Edward,,Edward,Turner,0.74
Kathy,,Kathy,Benjamin,0.004015576
,Lafemaleleur,Paul,Lafemaleleur,0.87
Matt,,Matt,Rountree,0.93
Orlando,,Orlando,Wallace,0.56
,Okeefemalee,Elizabeth,Okeefemalee,0.95
Loren,,Loren,Sanders,0.81
,Letchworth,Thomas,Letchworth,0.9
Cecil,,Cecil,Risinger,0.54
Nell,,Nell,Beck,0.93
,Campbell,Syble,Campbell,0.54
Rich,,Rich,Loya,0.51
Albert,,Albert,Richard,0.77
,Mason,Elsa,Mason,0.63
,Thibodaux,Wendy,Thibodaux,0.96
Edward,,Edward,Moore,0.84
Josephine,,Josephine,Matherly,0.09
,Clark,Brenda,Clark,0.51
,Weber,Ronald,Weber,0.1
,Snell,Ramiro,Snell,0.98
Louise,,Louise,Yee,0.78
Eugene,,Eugene,Mcmaster,0.7
,Thom,Eric,Thom,0.61
,Phillips,Kenneth,Phillips,0.06
,Sullivan,Martin,Sullivan,0.65
Ronnie,,Ronnie,Metcalfemale,0.7
Daniel,,Daniel,Lindley,0.53
Sandra,,Sandra,Johnson,0.09
,Lawrence,Peter,Lawrence,0.08
Angela,,Angela,Kittrell,0.08
William,,William,Ortega,0.76
,Wortman,Delia,Wortman,0.66
Rodney,,Rodney,Lloyd,0.74
,Robinson,Marjory,Robinson,0.53
Henry,,Henry,Rowe,0.83
Rachel,,Rachel,Shelley,0.04
Minnie,,Minnie,Mills,0.54
Larry,,Larry,Deskins,0.53
Carina,,Carina,Nichols,0.95
,Jacobs,Emma,Jacobs,0.63
Marian,,Marian,Valente,0.8
,Thompson,Maria,Thompson,0.5
Bernadette,,Bernadette,Taggart,0.58
Laura,,Laura,Bondi,0.63
Raymond,,Raymond,Reid,0.69
,Deboer,Carolyn,Deboer,0.07
,Clark,Joseph,Clark,0.66
,Patel,Glory,Patel,0.03
,Kenny,Yvonne,Kenny,0.63
Kimberly,,Kimberly,Hahn,0.05
,Smith,Nathan,Smith,0.84
,Merritt,Heather,Merritt,0.57
,Pena,Yvette,Pena,0.86
,Hiebert,Betty,Hiebert,0.86
David,,David,Imler,0.7
,Braxton,Elizabeth,Braxton,0.73
