rec_id,First_Name,Last_Name,SSN,Gender,Nationality,Age,Highest_Education_Level,Income,Company,State,Percentage,
rec-000000-dup-0,Melissa,,,female,Colombian,65,high_school,46312.109,AMBASSADOR APTS,IL  ,0.07,
rec-000001-dup-0,Sarah,,556-24-0496,female,Cameroonian,36,masters,,CHILDRENS AID SOCIETY,ME  ,0.09,
rec-000002-dup-0,Dorathy,Goldman,,female,,50,high_school,55207.519,COUNTRYSIDE VILLAGE,NC  ,0.69,
rec-000003-dup-0,Dorothy,Stang,211-78-0825,female,Brazilian,,high_school,46299.78,FIRST AMERICAN  BANK,,0.82,
rec-000004-dup-0,Michelle,Messenger,,female,French,77,high_school,36880.159,FIRST CREDIT CORPORATION,,0.76,
rec-000005-dup-0,Manuel,,532-78-4648,male ,Armenian,78,bachelors,67282.078,,PA  ,0.93,
rec-000006-dup-0,,Gooch,514-94-3053,male ,Swazi,,bachelors,63068.054,BLAKE SMITH,NJ  ,0.69,
rec-000007-dup-0,,Kelley,347-85-4672,female,,80,degree,74047.914,95 SUPS LGSMR,IL  ,0.63,
rec-000008-dup-0,Yun,,870-68-5113,,Marshallese ,22,high_school,36817.917,ABC MAILBOXES,PA  ,0.67,
rec-000009-dup-0,Aaron,Haynes,005-34-0557,male ,Papua New Guinean,,doctoral,,ACCEL BUSINESS FORMS,AL  ,0.68,
rec-000010-dup-0,Kathleen,Sabo,828-17-6634,female,Surinamese,,degree,,ACTON DENTAL,MA  ,0.73,
rec-000011-dup-0,,,677-53-1100,male ,Bermudian,77,bachelors,78426.132,ADVANTIS (PLUS IBM MAIL),NJ  ,0.56,
rec-000012-dup-0,Bryan,Thompson,,,Malawian,48,doctoral,87824.844,ALBERT A RUSSO INC,IN  ,0.72,
rec-000013-dup-0,Rosalie,,962-11-1201,female,Sri Lankan,32,high_school,38449.245,ALLIED CASH,,0.66,
rec-000014-dup-0,,Murphy,209-96-6722,male ,Greenlander ,18,high_school,50570.513,,KY  ,0.83,
rec-000015-dup-0,John,Henderson,,male ,Ecuadorean,46,professional,93073.033,AU BON PAIN,,0.04,
rec-000016-dup-0,,Parham,408-59-1289,,Cuban,94,high_school,37443.018,BRODIE OAKS,LA  ,0.65,
